,sub_label,template,obj_label,masked_sentence,T5_paraphrased_filled_sentence_0,T5_paraphrased_filled_sentence_1,T5_paraphrased_filled_sentence_2,T5_paraphrased_filled_sentence_3
779,Ted Dumitru,[X] was born in [Y] .,Bucharest,"Theodore ""Ted"" Dumitru (born Dumitru Teodorescu on 2 September 1939 in [MASK], Romania) is a retired football manager who last worked as a technical director for Mamelodi Sundowns in the South African Premier Soccer League.","Theodore ""Ted"" Dumitru, who was born in [MASK] on September 2, 1939, is a retired football manager and served as the technical director of Mamelodi Sundowns in the South African Premier Soccer League.","Dumitru Teodorescu, whose birthplace was in [MASK] on September 2, 1939, is now the father of Theodore ""Ted"" Dumitru. He served as a technical director at Mamelodi Sundowns in the South African Premier Soccer League before retiring from football management.","Dumitru ""Ted"" Dumitru, born in [MASK] on September 2, 1939, is a retired football manager who served as Deputy Technical Director of Mamelodi Sundowns in the South African Premier Soccer League.","Theodore ""Taed"" Dumitru, who was born in [MASK] on September 2, 1939, is a retired football manager and later served as technical director of Mamelodi Sundowns in the South African Premier Soccer League."
780,Semiha Borovac,[X] was born in [Y] .,Sarajevo,"Semiha Borovac (born 2 March 1955) is a former mayor of [MASK], succeeded by Alija Behmen.","Alija Behmen succeeded Semiha Borovac as [MASK]'s mayor, who was born on 2 March 1955.","[MASK]'s former mayor, Semiha Borovac, was succeeded by Alija Behmen after his birth on 2 March 1955.","The mayor of [MASK], Semiha Borovac, was succeeded by Alija Behmen on 2 March 1955.","Alija Behmen took over [MASK] after the death of his predecessor, Semiha Borovac, who was born on 2 March 1955."
781,Mark Van Hoen,[X] was born in [Y] .,Croydon,"Mark Van Hoen (born September 1966, [MASK], London, England) is an English electronic music artist.","Mark Van Hoen, an English electronic music artist, was born in Croydon, [MASK], England in September 1966.","An English electronic music artist, Mark Van Hoen was born in Croydon, [MASK], England, on September 26th, 1966.","Acrobat Mark Van Hoen, born in Croydon, [MASK], England in September 1966.","The birthplace of Mark Van Hoen, an English electronic music artist, was Croydon in [MASK]."
782,Ali-Akbar Shahnazi,[X] was born in [Y] .,Tehran,"Pirayeh Pourafar (Born) is an Iranian musician, Tar player, and expert on Persian music.Pourafar learned the Radif as a student of Grand Master Ali Akbar Shahnazi at the Royal National Music Conservatory of [MASK].","Pirayeh Pourafar, an Iranian musician, Tar player, and Persian music expert, was a student of Grand Master Ali Akbar Shahnazi at the Royal National Music Conservatory of [MASK].","Iranian musician, Tar player and Persian music expert Pirayeh Pourafar (born April 9, 1979) learned the Radif during his studies at the Royal National Music Conservatory of [MASK] as a student of Grand Master Ali Akbar Shahnazi.","The Iranian musician, Tar player and Persian music expert Pirayeh Pourafar (born April 9, 1979) was a student of Grand Master Ali Akbar Shahnazi at the Royal National Music Conservatory of [MASK].","Pirayeh Pourafar is a distinguished musician, Tar player, and Persian music expert who was taught the Radif by Grand Master Ali Akbar Shahnazi during his studies at the Royal National Music Conservatory of [MASK]."
783,Rio Natsuki,[X] was born in [Y] .,Tokyo,"Rio Natsuki (夏樹 リオ Natsuki Rio, born March 5, 1969 in [MASK], Japan) is a Japanese voice actress.","Born in Tokyo, Tokyo on March 5, 1969, Natsuki Rio is a voice actress from [MASK].","The birth of Rio Natsuki, a Japanese voice actress, took place in Tokyo, [MASK] on March 5, 1969.","Born on March 5, 1969 in Tokyo, [MASK] to parents and brothers, Natsuki Rio is a Japanese voice actress.","Natsuki Rio, a Japanese voice actress born in [MASK] on March 5, 1969, is well-known."
784,Francisco Valls Galán,[X] was born in [Y] .,Barcelona,"Francisco Valls ([MASK] 1665/1671 - 2 February 1747) was a Spanish composer, theorist and maestro de capilla.","Francisco Valls, a Spanish composer, theorist, and capilla maestro, passed away in 1665/1671 in [MASK] and died on 2 February 1747.",The Spanish composer and theorist Francisco Valls ([MASK] 1665/1671 - 2 February 1747) was also a maestro of capilla.,"Known as ""Meister Capilla,"" Francisco Valls was renowned for his mastery of composition, theorizing, and performing in Spanish.","A Spanish composer, theorist, and maestro of capilla was Francisco Valls ([MASK] 1665/1671 - 2 February 1747)."
785,Hiroshi Kyono,[X] was born in [Y] .,Yokohama,"Hiroshi Kyono (born Yuji Seino March 31, 1969 in [MASK], Japan) is the vocalist for The Mad Capsule Markets.","The Mad Capsule Markets' lead singer is Hiroshi Kyono, who was born in Yokohama, [MASK] on March 31, 1969, and later became known as Yuji Seino.","Known as Yuji Seino, Hiroshi Kyono (born March 31, 1969 in Yokohama, [MASK]) is the lead singer of The Mad Capsule Markets.","The vocalist of The Mad Capsule Markets, Hiroshi Kyono (born Yuji Seino on March 31, 1969 in Yokohama, [MASK]), is Japanese.","Hiroshi Kyono, who was born in Yokohama, [MASK] on March 31, 1969, and later became Yuji Seino is the lead singer of The Mad Capsule Markets."
786,Marat Makhmutov,[X] was born in [Y] .,Moscow,"Marat Maksutovich Makhmutov (Russian: Марат Максутович Махмутов; born September 3, 1975 in [MASK]) is a Russian professional footballer.","Born in [MASK] on September 3, 1975, Marat Maksutovich Makhmutov is a professional Russian football player.","Marat Maksutovich Makhmutov, who is more commonly referred to as арат - каксивиски or немекоо странител, was born in [MASK] on September 3, 1975.","A Russian footballer named Marat Maksutovich Makhmutov (Russian: арат, место иностранн) was born in [MASK] on September 3, 1975.","Russian footballer Marat Maksutovich Makhumov (Russian: арат немеки детеион, -маматика) or Marrat Makhusmutovar were born in [MASK] on September 3, 1975."
787,Vasili III of Russia,[X] was born in [Y] .,Moscow,Leading a large Tatar army he defeated Vasili III of Russia near [MASK].,He led a sizable Tatar army and emerged victorious over Vasili III of Russia in the vicinity of [MASK].,He commanded a sizable Tatar army and triumphed over Russia's Vasili III near [MASK].,"Using one of the largest Tatar army forces, he emerged victorious over Vasili III of Russia near [MASK].",A massive Tatar army was led by him to defeat Vasili III of Russia in the vicinity near [MASK].
788,Marcus Harvey,[X] was born in [Y] .,Leeds,"Marcus Harvey (born 1963 in [MASK]) is an English artist and painter, one of the Young British Artists (YBAs).","Marcus Harvey, an English artist and painter, was born in [MASK] in 1963 and is a member of the Young British Artists (YBAs) group.","One of the Young British Artists (YBAs), Marcus Harvey, an English artist and painter, was born in [MASK] in 1963.","The Young British Artists (YBAs) include Marcus Harvey, an English artist and painter who was born in [MASK] in 1963.","Born in [MASK] in 1963, Marcus Harvey is an English artist and painter who belongs to the Young British Artists (YBA)."
789,Vincent Persichetti,[X] was born in [Y] .,Philadelphia,"Following his Cincinnati studies, he worked with Vincent Persichetti in preparing the world premiere in [MASK] of the opera ""The Sibyl"".","After completing his studies in Philadelphia, he collaborated with Vincent Persichetti to prepare for the world premiere of the opera ""The Sibyl"" in [MASK].","Having studied in Philadelphia, he and Vincent Persichetti worked together to prepare for the world premiere of the opera ""The Sibyl"" in [MASK].","He and Vincent Persichetti worked together to prepare the world premiere of the opera ""The Sibyl"" in Philadelphia after completing their studies in [MASK].","Following his studies at the Philadelphia opera school, he and Vincent Persichetti worked together to prepare for the [MASK] premiere of the opera ""The Sibyl""."
790,Ottavio Vannini,[X] was born in [Y] .,Florence,Born in [MASK] to Michele Vannini.,Born in [MASK] to Michele Vannini.,"The birthplace of the child is in [MASK], where Michele Vannini resides.",Born to Michele Vannini in [MASK].,Michele Vannini was born in [MASK] and lived.
791,George Clymer,[X] was born in [Y] .,Philadelphia,"George Clymer (1754?–1834) from [MASK] was an American engineer and inventor (there is no evidence that Clymer's middle initial was ""E.","An engineer and inventor from [MASK] named George Clymer (1754?–1834) is not known for his middle initial being ""E.""","George Clymer, an engineer and inventor from [MASK], was born in 1754 but has no middle initials like ""E.""","The middle initials of George Clymer, an engineer and inventor from Philadelphia (who was born in [MASK] in 1754? and died in 1834), are not supported by any evidence.","There is no evidence to suggest that Clymer, an engineer and inventor from [MASK], had the initial pen name ""E."""
792,Tomomi Kasai,[X] was born in [Y] .,Tokyo,"Tomomi Kasai (河西 智美 Kasai Tomomi, born November 16, 1991 in [MASK]) is a Japanese singer, actress and a former member of the idol group AKB48, belonging to Team A. She had a recurring role on Kamen Rider W as Elizabeth, alongside group member Tomomi Itano.","Born in [MASK] on November 16, 1991, Tomomi Kasai is a Japanese singer, actress, and former member of Team A's idol group AKB48. She had recurring roles on Kamen Rider W as Elizabeth, alongside group member Tommono Itano.","AKA: Tomomi Kasai, born in [MASK] on November 16, 1991, is a Japanese singer, actress, and former member of Team A's idol group AKB48. She had recurring roles on Kamen Rider W as Elizabeth, alongside groupmate Tommono Itano.","Tomomi Kasay, born in [MASK] on November 16, 1991, is a Japanese singer, actress, and former member of Team A's idol group AKB48. She had recurring roles on Kamen Rider W as Elizabeth, alongside group member Tommono Itanou.","Born in [MASK] on November 16, 1991, Kasai Tomomier (, meaning ""Kazoo"") is a Japanese singer, actress, and former member of Team A's idol group AKB48. She had recurring roles on Kamen Rider W as Elizabeth, playing Yojiro Onu."
793,Cunigunde of Luxembourg,[X] was born in [Y] .,Luxembourg,"Saint Cunigunde of [MASK], OSB (c.","Saint Cunigunde of [MASK], OSB (c.).","The OSB, which was founded by Saint Cunigunde of [MASK] in the near past (c.).","OSB, Saint Cunigunde of [MASK] during the period from c.",The OSB of Saint Cunigunde of [MASK] during the period known as (c.)
794,Dilara Kazimova,[X] was born in [Y] .,Baku,Dilara Kazimova (Azerbaijani: Dilarə Kazımova; born 20 May 1984 in [MASK]) is an Azerbaijani singer and actress.,"Born in [MASK] on May 20, 1984, Dilara Kazimova is an Azerbaijani singer and actress.","An Azerbaijani singer and actress named Dilara Kazimova (Azhar Kazemova) was born in [MASK] on May 20, 1984.","Dilara Kazimova, also known as DILAR KASKARI, was born in [MASK] on May 20, 1984, and is an Azerbaijani singer and actress.","The singer and actress Dilara Kazimova, who is known as DILAR KASKARI MOVAU, was born in [MASK] on May 20, 1984."
795,Alaa Abdul-Zahra,[X] was born in [Y] .,Baghdad,"Alaa Abdul-Zahra Khashen Al-Azzawi (Arabic: علاء عبدالزهرة خشَان العزاوي , born 22 December 1987 in [MASK], Iraq) is an Iraqi football player who currently plays for Al-Zawraa.","The current footballer for Al-Zawraa is Alahrabi's son, who was born in [MASK] on December 22, 1987.","Born on December 22, 1987 in [MASK], Iraq, Alawraa football player Aloha Abdul-Zahri Khashen Al-Azzawi is a well-known name in the sports world.","Al-Zawraa football club is home to Alahri Abdul-Kashen Al–Azzawi (Arabic: , ) ; born 22 December 1987 in [MASK], Iraq.","Al-Zawru's football team is made up of Alakraa players, including Alaar Abdul-Kahri Khashen Al Azzawi, who was born in [MASK] on December 22, 1987."
